id,timestamp,prob,type,event_idx,event_index,prob_gamma
RM33,2016-10-30 00:39:25.910,0.72820634,p,,,
RM33,2016-10-30 00:39:27.520,0.7086894,s,,,
FDMO,2016-10-30 00:40:19.510,0.9775934,p,15.0,15.0,0.44492770624169514
FDMO,2016-10-30 00:40:20.290,0.87204015,s,15.0,15.0,0.4001677081875463
MMO1,2016-10-30 00:40:23.430,0.97391146,p,15.0,15.0,0.44324404932571565
MMO1,2016-10-30 00:40:27.570,0.90247905,s,15.0,15.0,0.41413562783333435
RM33,2016-10-30 00:40:29.050,0.7977115,p,15.0,15.0,0.3675757724536748
FDMO,2016-10-30 00:40:53.560,0.9694612,p,2.0,2.0,0.4608350124064439
FDMO,2016-10-30 00:40:54.320,0.80090034,s,2.0,2.0,0.38342551912536427
MMO1,2016-10-30 00:40:57.500,0.9496275,p,2.0,2.0,0.4514106167777792
MMO1,2016-10-30 00:41:01.580,0.87199837,s,2.0,2.0,0.417463100028216
RM33,2016-10-30 00:41:03.210,0.64316165,p,2.0,2.0,0.3090080225631356
MMO1,2016-10-30 00:42:30.910,0.9208528,p,11.0,11.0,0.38376264011959066
FDMO,2016-10-30 00:42:31.530,0.9368715,p,11.0,11.0,0.3904425115361355
RM33,2016-10-30 00:42:33.340,0.6382901,p,11.0,11.0,0.26600549186169
MMO1,2016-10-30 00:42:34.300,0.6779692,s,11.0,11.0,0.2825436106077294
RM33,2016-10-30 00:42:38.520,0.5668665,s,11.0,11.0,0.23624157669280518
MMO1,2016-10-30 00:43:47.720,0.95654106,p,6.0,6.0,0.419480704127078
FDMO,2016-10-30 00:43:49.250,0.6702676,p,6.0,6.0,0.2939392973105071
MMO1,2016-10-30 00:43:49.910,0.9034139,s,6.0,6.0,0.3961829847820745
RM33,2016-10-30 00:43:52.230,0.5274667,p,6.0,6.0,0.23131471659262182
RM33,2016-10-30 00:43:57.720,0.57584107,s,6.0,6.0,0.252529192758805
FDMO,2016-10-30 00:44:28.760,0.64300954,p,,,
FDMO,2016-10-30 00:44:29.570,0.6152496,s,,,
MMO1,2016-10-30 00:44:35.120,0.9605194,p,,,
FDMO,2016-10-30 00:44:37.530,0.5649904,p,,,
MMO1,2016-10-30 00:44:37.570,0.8695017,s,,,
MMO1,2016-10-30 00:45:50.780,0.9630419,p,,,
MMO1,2016-10-30 00:45:53.660,0.8823708,s,,,
RM33,2016-10-30 00:45:53.910,0.7424302,p,,,
RM33,2016-10-30 00:45:59.730,0.6172001,s,,,
MMO1,2016-10-30 00:47:58.300,0.92068005,p,,,
MMO1,2016-10-30 00:48:00.590,0.9203824,s,,,
RM33,2016-10-30 00:48:02.330,0.62629306,p,,,
RM33,2016-10-30 00:48:07.770,0.59797835,s,,,
RM33,2016-10-30 00:48:43.860,0.5075868,p,,,
MMO1,2016-10-30 00:49:15.900,0.9043363,p,,,
MMO1,2016-10-30 00:49:18.840,0.8910441,s,,,
FDMO,2016-10-30 00:52:04.490,0.9743648,p,,,
FDMO,2016-10-30 00:52:05.230,0.65718853,s,,,
RM33,2016-10-30 00:52:13.160,0.8584658,p,,,
RM33,2016-10-30 00:52:21.520,0.51356417,s,,,
FDMO,2016-10-30 00:52:59.360,0.6687801,s,,,
RM33,2016-10-30 00:53:00.170,0.87460685,p,,,
RM33,2016-10-30 00:53:06.230,0.59444195,s,,,
FDMO,2016-10-30 00:53:52.680,0.9615555,p,,,
FDMO,2016-10-30 00:53:53.320,0.53960276,s,,,
RM33,2016-10-30 00:54:35.490,0.9209775,p,,,
FDMO,2016-10-30 00:54:36.100,0.98100257,p,,,
FDMO,2016-10-30 00:54:37.780,0.96063364,s,,,
RM33,2016-10-30 00:54:40.120,0.66109216,s,,,
FDMO,2016-10-30 00:56:16.780,0.5896174,p,,,
FDMO,2016-10-30 00:56:17.380,0.5624533,s,,,
FDMO,2016-10-30 00:57:54.730,0.5235173,p,,,
RM33,2016-10-30 00:57:58.140,0.82186973,p,,,
RM33,2016-10-30 00:58:04.020,0.6320964,s,,,
FDMO,2016-10-30 00:58:38.160,0.8372228,p,,,
FDMO,2016-10-30 00:58:39.740,0.67286325,s,,,
RM33,2016-10-30 00:59:00.400,0.88349384,p,,,
RM33,2016-10-30 00:59:04.740,0.59376544,s,,,
FDMO,2016-10-30 00:59:32.650,0.6925619,p,,,
FDMO,2016-10-30 00:59:33.770,0.5762874,s,,,
RM33,2016-10-30 01:00:45.480,0.51098037,p,,,
FDMO,2016-10-30 01:00:46.050,0.74823433,p,,,
FDMO,2016-10-30 01:00:48.780,0.72559613,s,,,
RM33,2016-10-30 01:01:05.070,0.87807244,p,,,
