id,timestamp,prob,type
IV.FDMO.,2016-10-30 00:32:10.510,0.97622144,p
IV.RM33.,2016-10-30 00:32:12.050,0.9749757,p
IV.MMO1.,2016-10-30 00:32:13.320,0.7552916,s
IV.FDMO.,2016-10-30 00:32:14.270,0.8505769,s
IV.RM33.,2016-10-30 00:32:17.240,0.81956595,s
IV.MMO1.,2016-10-30 00:32:53.280,0.6882154,p
IV.FDMO.,2016-10-30 00:32:53.780,0.87555695,p
IV.MMO1.,2016-10-30 00:32:56.460,0.5519473,s
IV.FDMO.,2016-10-30 00:32:57.430,0.75902593,s
IV.MMO1.,2016-10-30 00:33:29.000,0.5447483,s
IV.MMO1.,2016-10-30 00:34:41.930,0.51076245,p
IV.MMO1.,2016-10-30 00:34:44.730,0.75771236,s
IV.MMO1.,2016-10-30 00:36:42.420,0.52153635,s
IV.FDMO.,2016-10-30 00:37:16.900,0.93479854,p
IV.MMO1.,2016-10-30 00:37:17.960,0.9514865,p
IV.RM33.,2016-10-30 00:37:22.380,0.67312086,p
IV.RM33.,2016-10-30 00:37:28.100,0.55847394,s
IV.MMO1.,2016-10-30 00:38:15.900,0.8083303,p
IV.MMO1.,2016-10-30 00:38:17.650,0.9159473,s
IV.RM33.,2016-10-30 00:39:25.910,0.72820634,p
IV.RM33.,2016-10-30 00:39:27.520,0.7086894,s
IV.FDMO.,2016-10-30 00:40:19.510,0.9775934,p
IV.FDMO.,2016-10-30 00:40:20.290,0.87204015,s
IV.MMO1.,2016-10-30 00:40:23.430,0.97391146,p
IV.MMO1.,2016-10-30 00:40:27.570,0.90247905,s
IV.RM33.,2016-10-30 00:40:29.050,0.7977115,p
IV.FDMO.,2016-10-30 00:40:53.560,0.9694612,p
IV.FDMO.,2016-10-30 00:40:54.320,0.80090034,s
IV.MMO1.,2016-10-30 00:40:57.500,0.9496275,p
IV.MMO1.,2016-10-30 00:41:01.580,0.87199837,s
IV.RM33.,2016-10-30 00:41:03.210,0.64316165,p
IV.MMO1.,2016-10-30 00:42:30.910,0.9208528,p
IV.FDMO.,2016-10-30 00:42:31.530,0.9368715,p
IV.RM33.,2016-10-30 00:42:33.340,0.6382901,p
IV.MMO1.,2016-10-30 00:42:34.300,0.6779692,s
IV.RM33.,2016-10-30 00:42:38.520,0.5668665,s
IV.MMO1.,2016-10-30 00:43:47.720,0.95654106,p
IV.FDMO.,2016-10-30 00:43:49.250,0.6702676,p
IV.MMO1.,2016-10-30 00:43:49.910,0.9034139,s
IV.RM33.,2016-10-30 00:43:52.230,0.5274667,p
IV.RM33.,2016-10-30 00:43:57.720,0.57584107,s
IV.FDMO.,2016-10-30 00:44:28.760,0.64300954,p
IV.FDMO.,2016-10-30 00:44:29.570,0.6152496,s
IV.MMO1.,2016-10-30 00:44:35.120,0.9605194,p
IV.FDMO.,2016-10-30 00:44:37.530,0.5649904,p
IV.MMO1.,2016-10-30 00:44:37.570,0.8695017,s
IV.MMO1.,2016-10-30 00:45:50.780,0.9630419,p
IV.MMO1.,2016-10-30 00:45:53.660,0.8823708,s
IV.RM33.,2016-10-30 00:45:53.910,0.7424302,p
IV.RM33.,2016-10-30 00:45:59.730,0.6172001,s
IV.MMO1.,2016-10-30 00:47:58.300,0.92068005,p
IV.MMO1.,2016-10-30 00:48:00.590,0.9203824,s
IV.RM33.,2016-10-30 00:48:02.330,0.62629306,p
IV.RM33.,2016-10-30 00:48:07.770,0.59797835,s
IV.RM33.,2016-10-30 00:48:43.860,0.5075868,p
IV.MMO1.,2016-10-30 00:49:15.900,0.9043363,p
IV.MMO1.,2016-10-30 00:49:18.840,0.8910441,s
IV.FDMO.,2016-10-30 00:52:04.490,0.9743648,p
IV.FDMO.,2016-10-30 00:52:05.230,0.65718853,s
IV.RM33.,2016-10-30 00:52:13.160,0.8584658,p
IV.RM33.,2016-10-30 00:52:21.520,0.51356417,s
IV.FDMO.,2016-10-30 00:52:59.360,0.6687801,s
IV.RM33.,2016-10-30 00:53:00.170,0.87460685,p
IV.RM33.,2016-10-30 00:53:06.230,0.59444195,s
IV.FDMO.,2016-10-30 00:53:52.680,0.9615555,p
IV.FDMO.,2016-10-30 00:53:53.320,0.53960276,s
IV.RM33.,2016-10-30 00:54:35.490,0.9209775,p
IV.FDMO.,2016-10-30 00:54:36.100,0.98100257,p
IV.FDMO.,2016-10-30 00:54:37.780,0.96063364,s
IV.RM33.,2016-10-30 00:54:40.120,0.66109216,s
IV.FDMO.,2016-10-30 00:56:16.780,0.5896174,p
IV.FDMO.,2016-10-30 00:56:17.380,0.5624533,s
IV.FDMO.,2016-10-30 00:57:54.730,0.5235173,p
IV.RM33.,2016-10-30 00:57:58.140,0.82186973,p
IV.RM33.,2016-10-30 00:58:04.020,0.6320964,s
IV.FDMO.,2016-10-30 00:58:38.160,0.8372228,p
IV.FDMO.,2016-10-30 00:58:39.740,0.67286325,s
IV.RM33.,2016-10-30 00:59:00.400,0.88349384,p
IV.RM33.,2016-10-30 00:59:04.740,0.59376544,s
IV.FDMO.,2016-10-30 00:59:32.650,0.6925619,p
IV.FDMO.,2016-10-30 00:59:33.770,0.5762874,s
IV.RM33.,2016-10-30 01:00:45.480,0.51098037,p
IV.FDMO.,2016-10-30 01:00:46.050,0.74823433,p
IV.FDMO.,2016-10-30 01:00:48.780,0.72559613,s
IV.RM33.,2016-10-30 01:01:05.070,0.87807244,p
IV.RM33.,2016-10-30 01:01:08.990,0.8240644,s
